customer_id,plan_type,region,acquisition_channel,tenure_months,monthly_fee,monthly_usage_gb,support_tickets_90d,payment_delay_days,monthly_revenue,churned,usage_segment,value_segment,risk_band
100066,Postpaid,North,Store,6,26.89,17.13,3,5,29.04,0,Heavy,Mid,Elevated
100067,Prepaid,Central,App,72,14.58,11.2,1,2,14.58,0,Moderate,Low,Medium
100068,Prepaid,North,App,1,22.6,10.72,1,2,22.6,1,Moderate,Mid,Medium
100069,Postpaid,West,Web,40,33.23,26.2,1,5,39.2,0,Heavy,High,Elevated
100070,Prepaid,West,Store,33,11.7,2.52,2,1,11.7,1,Light,Low,Medium
100071,Postpaid,North,App,46,31.96,17.62,2,2,34.32,1,Heavy,Mid,Medium
100072,Family,South,App,1,41.79,23.2,2,4,46.5,1,Heavy,High,Elevated
100073,Prepaid,North,Web,14,23.4,15.42,2,1,24.84,0,Heavy,Mid,Medium
100074,Prepaid,East,App,25,24.53,2.46,0,2,24.53,0,Light,Mid,Low
100075,Prepaid,Central,Web,67,9.36,6.48,2,1,9.36,0,Moderate,Low,Medium
100076,Prepaid,East,Web,26,18.0,8.72,2,3,18.0,1,Moderate,Low,Medium
100077,Postpaid,Central,App,42,28.83,14.94,3,1,30.06,0,Moderate,Mid,Medium
100078,Postpaid,North,Store,42,34.86,6.23,2,0,34.86,1,Moderate,Mid,Low
100079,Family,South,Store,30,50.54,24.27,2,3,55.69,0,Heavy,High,Medium
100080,Postpaid,Central,Store,60,31.14,17.82,0,1,33.58,0,Heavy,Mid,Low
100081,Postpaid,Central,Partner,52,24.79,9.45,1,1,24.79,0,Moderate,Mid,Low
100082,Family,South,Store,32,38.86,14.76,0,1,40.02,1,Moderate,High,Low
100083,Prepaid,West,App,22,21.31,9.93,1,2,21.31,1,Moderate,Mid,Medium
100084,Prepaid,Central,App,21,14.75,4.06,1,4,14.75,0,Light,Low,Medium
100085,Prepaid,West,Store,68,14.26,14.85,1,0,15.45,0,Moderate,Low,Low
100086,Family,West,App,10,34.36,5.79,2,1,34.36,0,Moderate,Mid,Medium
100087,Postpaid,North,Web,13,31.14,17.91,3,3,33.63,0,Heavy,Mid,Elevated
100088,Prepaid,North,App,19,19.82,8.17,0,1,19.82,0,Moderate,Low,Low
100089,Postpaid,West,App,60,29.78,11.56,1,3,29.78,0,Moderate,Mid,Medium
100090,Prepaid,East,App,50,19.14,4.03,0,3,19.14,1,Light,Low,Medium
100091,Postpaid,South,Web,70,23.07,2.96,0,3,23.07,0,Light,Mid,Medium
100092,Postpaid,South,Web,52,25.26,19.92,0,1,28.59,0,Heavy,Mid,Low
100093,Postpaid,South,Store,36,29.2,9.33,4,1,29.2,0,Moderate,Mid,Medium
100094,Prepaid,East,App,3,21.22,5.47,0,2,21.22,0,Moderate,Mid,Low
100095,Postpaid,South,Partner,64,21.47,27.0,0,5,27.77,0,Heavy,Mid,Medium
100096,Postpaid,South,Partner,49,30.02,23.84,2,3,34.99,0,Heavy,Mid,Medium
100097,Prepaid,North,App,6,23.82,4.79,3,2,23.82,1,Light,Mid,Medium
100098,Prepaid,Central,Web,70,25.03,9.1,2,6,25.03,0,Moderate,Mid,Elevated
100099,Business,West,Partner,45,63.28,18.87,2,2,66.16,0,Heavy,VIP,Medium
100100,Family,North,App,45,35.62,25.83,0,2,41.43,0,Heavy,High,Low
100101,Postpaid,East,App,26,34.1,19.73,0,2,37.35,0,Heavy,High,Low
100102,Prepaid,East,Store,24,21.53,6.46,3,2,21.53,0,Moderate,Mid,Medium
100103,Business,West,App,27,33.64,21.05,2,3,37.44,0,Heavy,High,Medium
100104,Family,West,Web,4,27.4,24.55,1,3,32.67,1,Heavy,Mid,Medium
100105,Postpaid,West,Store,33,16.8,3.15,0,6,16.8,0,Light,Low,Elevated
100106,Postpaid,West,App,5,23.71,15.91,3,2,25.35,1,Heavy,Mid,Medium
100107,Prepaid,North,App,43,18.14,10.8,4,4,18.14,1,Moderate,Low,Elevated
100108,Prepaid,South,Web,15,19.98,0.26,1,3,19.98,0,Light,Low,Medium
100109,Family,North,App,45,33.53,13.58,2,3,34.2,0,Moderate,Mid,Medium
100110,Postpaid,East,App,27,31.92,14.59,2,3,33.01,0,Moderate,Mid,Medium
100111,Prepaid,East,App,21,18.48,1.79,1,4,18.48,0,Light,Low,Medium
100112,Prepaid,West,Web,11,23.87,0.88,3,2,23.87,1,Light,Mid,Medium
100113,Postpaid,North,App,28,37.81,8.67,1,3,37.81,0,Moderate,High,Medium
100114,Prepaid,West,App,5,14.95,7.33,3,3,14.95,0,Moderate,Low,Elevated
100115,Family,South,Web,18,44.01,12.91,2,1,44.39,0,Moderate,High,Medium
100116,Family,South,App,34,43.06,11.87,0,4,43.06,1,Moderate,High,Medium
100117,Postpaid,West,Web,46,32.66,8.95,1,3,32.66,0,Moderate,Mid,Medium
100118,Postpaid,North,App,34,15.14,13.34,1,6,15.71,0,Moderate,Low,Elevated
100119,Postpaid,South,Web,8,29.2,12.96,1,2,29.61,0,Moderate,Mid,Medium
100120,Postpaid,South,App,52,28.1,8.47,4,1,28.1,0,Moderate,Mid,Medium
100121,Postpaid,West,App,31,22.55,20.47,0,3,26.11,1,Heavy,Mid,Medium
100122,Prepaid,North,App,46,22.56,17.09,3,3,24.69,1,Heavy,Mid,Elevated
100123,Postpaid,Central,Partner,71,27.62,13.21,0,0,28.13,1,Moderate,Mid,Low
100124,Prepaid,Central,Web,4,21.32,9.27,3,4,21.32,1,Moderate,Mid,Elevated
100125,Postpaid,West,App,72,22.54,6.1,1,0,22.54,0,Moderate,Mid,Low
100126,Prepaid,South,App,69,18.04,9.52,2,6,18.04,1,Moderate,Low,Elevated
100127,Prepaid,West,App,38,21.69,7.75,4,3,21.69,0,Moderate,Mid,Elevated
100128,Prepaid,North,App,2,24.72,17.56,0,1,27.05,0,Heavy,Mid,Low
100129,Postpaid,Central,App,18,45.19,22.02,1,1,49.4,0,Heavy,High,Low
100130,Prepaid,East,Partner,17,19.93,4.49,1,1,19.93,1,Light,Low,Low
100131,Business,North,App,43,59.58,21.17,0,3,63.44,0,Heavy,VIP,Medium
100132,Postpaid,South,Partner,50,28.06,8.34,0,2,28.06,0,Moderate,Mid,Low
100133,Postpaid,West,App,36,37.82,13.06,1,2,38.26,1,Moderate,High,Medium
100134,Postpaid,Central,Web,26,23.81,19.01,3,2,26.75,1,Heavy,Mid,Medium
100135,Prepaid,East,App,4,25.93,11.89,1,3,25.93,0,Moderate,Mid,Medium
100136,Business,East,App,68,50.97,38.86,1,0,62.26,0,Power,VIP,Low
100137,Postpaid,West,Web,72,32.33,26.56,0,5,38.45,0,Heavy,High,Medium
100138,Family,West,App,3,59.2,23.76,0,2,64.14,0,Heavy,VIP,Low
100139,Prepaid,West,Web,24,15.15,3.75,0,5,15.15,0,Light,Low,Medium
100140,Postpaid,South,Web,71,34.76,14.45,1,4,35.79,1,Moderate,High,Medium
100141,Postpaid,West,Partner,29,20.92,17.27,1,3,23.13,0,Heavy,Mid,Medium
100142,Business,Central,Web,45,51.34,29.3,0,2,58.6,0,Heavy,High,Low
100143,Postpaid,North,App,37,18.08,17.53,1,4,20.4,0,Heavy,Mid,Medium
100144,Postpaid,South,App,46,28.05,2.19,1,1,28.05,0,Light,Mid,Low
100145,Prepaid,North,Web,64,19.98,4.1,1,3,19.98,0,Light,Low,Medium
100146,Prepaid,South,App,28,28.98,0.2,3,5,28.98,0,Light,Mid,Elevated
100147,Postpaid,West,Store,58,26.54,15.69,1,2,28.09,0,Heavy,Mid,Medium
100148,Postpaid,North,App,33,32.49,22.55,0,2,36.92,1,Heavy,High,Low
100149,Prepaid,East,Web,15,16.49,11.88,0,7,16.49,1,Moderate,Low,Elevated
100150,Family,North,App,6,44.18,18.35,3,5,46.84,0,Heavy,High,Elevated
100151,Family,Central,App,52,34.51,20.91,0,2,38.25,0,Heavy,High,Low
100152,Prepaid,West,Partner,44,19.68,1.33,1,2,19.68,0,Light,Low,Medium
100153,Postpaid,East,Web,63,28.23,2.44,2,2,28.23,0,Light,Mid,Medium
100154,Prepaid,West,App,17,16.86,16.79,0,5,18.87,1,Heavy,Low,Medium
100155,Postpaid,North,App,52,34.46,22.17,0,2,38.73,0,Heavy,High,Low
100156,Prepaid,Central,Web,2,11.03,8.66,0,1,11.03,0,Moderate,Low,Low
100157,Postpaid,West,App,11,33.87,9.01,0,2,33.87,0,Moderate,Mid,Low
100158,Family,North,Store,43,32.53,8.11,0,2,32.53,0,Moderate,Mid,Low
100159,Family,Central,Web,39,44.19,14.55,1,3,45.26,0,Moderate,High,Medium
100160,Prepaid,North,App,43,16.95,5.09,2,3,16.95,0,Moderate,Low,Medium
100161,Family,West,App,61,39.19,23.98,0,2,44.22,0,Heavy,High,Low
100162,Prepaid,North,App,61,18.34,6.97,1,3,18.34,0,Moderate,Low,Medium
100163,Prepaid,West,App,15,16.22,7.95,3,3,16.22,1,Moderate,Low,Elevated
100164,Postpaid,North,Store,15,36.22,13.76,2,6,36.96,1,Moderate,High,Elevated
100165,Postpaid,North,App,39,38.07,15.89,1,2,39.71,1,Heavy,High,Medium
100166,Family,East,Partner,69,38.74,28.9,1,5,45.84,0,Heavy,High,Elevated
100167,Family,Central,Web,49,42.1,15.43,0,6,43.54,0,Heavy,High,Elevated
100168,Prepaid,South,App,11,8.0,7.84,1,2,8.0,0,Moderate,Low,Medium
100169,Business,West,Store,46,52.69,32.96,4,1,61.49,1,Heavy,VIP,Medium
100170,Prepaid,East,App,25,22.56,0.22,0,6,22.56,0,Light,Mid,Elevated
100171,Postpaid,Central,App,8,29.22,20.18,1,1,32.66,0,Heavy,Mid,Low
100172,Prepaid,South,Store,52,20.93,6.95,1,0,20.93,0,Moderate,Mid,Low
100173,Business,East,App,20,57.98,22.42,1,4,62.36,0,Heavy,VIP,Medium
100174,Prepaid,Central,App,56,19.94,11.08,3,3,19.94,1,Moderate,Low,Elevated
100175,Prepaid,South,App,40,11.73,3.09,2,3,11.73,0,Light,Low,Medium
100176,Postpaid,East,App,33,28.28,3.48,2,3,28.28,0,Light,Mid,Medium
100177,Business,Central,Web,16,62.71,28.3,0,5,69.55,0,Heavy,VIP,Medium
100178,Family,South,Partner,22,38.02,13.35,1,5,38.59,1,Moderate,High,Elevated
100179,Family,South,Web,25,37.35,17.25,1,1,39.56,0,Heavy,High,Low
100180,Family,South,Partner,50,29.49,6.8,1,3,29.49,1,Moderate,Mid,Medium
100181,Family,West,Store,30,41.51,6.73,0,1,41.51,0,Moderate,High,Low
100182,Postpaid,Central,App,3,32.26,29.89,1,2,39.77,0,Heavy,High,Medium
100183,Prepaid,West,Web,1,15.55,0.2,1,4,15.55,0,Light,Low,Medium
100184,Family,West,App,20,47.45,5.57,0,2,47.45,0,Moderate,High,Low
100185,Postpaid,South,App,37,25.28,12.44,0,4,25.47,1,Moderate,Mid,Medium
100186,Postpaid,North,Partner,24,26.65,14.36,1,4,27.64,0,Moderate,Mid,Medium
100187,Prepaid,North,Web,72,8.0,10.8,1,4,8.0,0,Moderate,Low,Medium
100188,Family,North,Partner,17,34.36,20.88,0,1,38.09,0,Heavy,High,Low
100189,Prepaid,North,App,30,10.88,6.4,0,1,10.88,0,Moderate,Low,Low
100190,Business,West,Web,29,42.74,34.17,2,5,52.05,0,Heavy,High,Elevated
100191,Prepaid,North,App,20,15.52,9.56,1,1,15.52,0,Moderate,Low,Low
100192,Prepaid,North,App,64,21.27,5.55,2,4,21.27,0,Moderate,Mid,Elevated
100193,Family,South,Partner,19,33.51,19.8,0,4,36.79,0,Heavy,High,Medium
100194,Prepaid,South,App,1,14.55,7.32,1,4,14.55,1,Moderate,Low,Medium
100195,Prepaid,North,Web,38,20.9,9.45,1,1,20.9,1,Moderate,Mid,Low
100196,Postpaid,North,Partner,46,28.35,16.67,0,3,30.31,0,Heavy,Mid,Medium
100197,Family,South,Web,33,41.15,9.21,0,1,41.15,0,Moderate,High,Low
100198,Prepaid,East,App,31,16.34,9.08,0,0,16.34,0,Moderate,Low,Low
100199,Prepaid,West,App,63,17.24,6.49,1,3,17.24,0,Moderate,Low,Medium
100200,Family,Central,Partner,27,34.55,22.14,2,3,38.81,1,Heavy,High,Medium
100201,Business,West,Store,47,43.1,27.73,0,4,49.71,0,Heavy,High,Medium
100202,Postpaid,West,Store,61,34.82,0.2,1,7,34.82,0,Light,Mid,Elevated
100203,Prepaid,Central,App,29,19.43,3.18,2,3,19.43,1,Light,Low,Medium
100204,Prepaid,East,App,39,18.63,4.09,0,1,18.63,1,Light,Low,Low
100205,Prepaid,West,Partner,28,18.25,11.87,1,3,18.25,0,Moderate,Low,Medium
100206,Prepaid,East,Store,45,10.53,8.26,1,2,10.53,0,Moderate,Low,Medium
100207,Postpaid,South,Web,40,37.68,16.23,1,0,39.45,0,Heavy,High,Low
100208,Prepaid,South,App,62,21.08,9.95,1,3,21.08,0,Moderate,Mid,Medium
100209,Postpaid,North,App,19,35.92,10.2,5,5,35.92,0,Moderate,High,Critical
100210,Postpaid,West,Store,12,29.4,16.07,3,2,31.11,1,Heavy,Mid,Medium
100211,Postpaid,North,Web,31,37.89,20.12,0,1,41.3,0,Heavy,High,Low
100212,Prepaid,West,App,45,20.51,14.74,2,1,21.66,0,Moderate,Mid,Medium
100213,Family,Central,App,21,31.14,29.32,1,3,38.41,0,Heavy,High,Medium
100214,Postpaid,East,Store,72,27.73,19.49,2,4,30.87,0,Heavy,Mid,Elevated
100215,Family,North,App,38,39.83,5.9,1,3,39.83,0,Moderate,High,Medium
100216,Prepaid,East,App,59,13.13,12.12,2,1,13.18,0,Moderate,Low,Medium
100217,Prepaid,South,Store,40,21.56,5.31,1,1,21.56,0,Moderate,Mid,Low
100218,Business,Central,App,29,36.11,39.72,0,1,47.76,0,Power,High,Low
100219,Postpaid,West,Store,61,24.01,14.07,3,4,24.88,0,Moderate,Mid,Elevated
100220,Prepaid,West,App,12,27.38,18.78,1,6,30.23,1,Heavy,Mid,Elevated
100221,Postpaid,East,Web,19,29.17,27.75,2,3,35.79,1,Heavy,High,Medium
100222,Postpaid,West,Web,56,27.15,23.01,0,4,31.77,0,Heavy,Mid,Medium
100223,Business,West,Web,66,59.88,27.68,0,4,66.47,0,Heavy,VIP,Medium
100224,Prepaid,North,Web,21,20.91,5.17,3,0,20.91,0,Moderate,Mid,Medium
100225,Business,South,Store,39,52.11,33.59,2,3,61.18,1,Heavy,VIP,Medium
100226,Prepaid,North,App,36,24.68,7.28,0,3,24.68,1,Moderate,Mid,Medium
100227,Postpaid,East,App,53,23.91,22.59,3,6,28.36,0,Heavy,Mid,Elevated
100228,Postpaid,Central,App,36,22.02,2.12,1,1,22.02,0,Light,Mid,Low
100229,Prepaid,West,Web,45,13.41,2.57,0,5,13.41,0,Light,Low,Medium
100230,Prepaid,East,App,49,24.0,5.4,1,4,24.0,0,Moderate,Mid,Medium
100231,Postpaid,Central,App,60,38.25,23.07,0,0,42.9,0,Heavy,High,Low
100232,Business,North,Store,10,62.63,23.55,2,3,67.48,0,Heavy,VIP,Medium
100233,Postpaid,North,Web,48,33.1,2.12,2,2,33.1,0,Light,Mid,Medium
100234,Business,Central,App,14,66.44,30.58,1,1,74.25,0,Heavy,VIP,Low
100235,Family,Central,Store,1,36.07,15.05,3,2,37.35,1,Heavy,High,Medium
100236,Postpaid,West,Store,52,23.28,26.33,0,1,29.3,0,Heavy,Mid,Low
100237,Family,South,Partner,29,42.84,11.6,2,4,42.84,1,Moderate,High,Elevated
100238,Prepaid,Central,Web,52,26.17,9.37,0,5,26.17,0,Moderate,Mid,Medium
100239,Prepaid,West,App,68,8.0,4.64,1,8,8.0,0,Light,Low,Elevated
100240,Family,West,Web,10,37.98,26.59,2,3,44.11,0,Heavy,High,Medium
100241,Family,South,App,33,39.48,26.86,0,2,45.72,1,Heavy,High,Low
100242,Prepaid,East,App,8,15.72,8.99,1,1,15.72,0,Moderate,Low,Low
100243,Postpaid,West,App,60,24.29,9.67,0,6,24.29,0,Moderate,Mid,Elevated
100244,Postpaid,Central,Store,72,40.69,18.27,0,2,43.32,0,Heavy,High,Low
100245,Family,East,Store,63,40.55,0.2,1,4,40.55,1,Light,High,Medium
100246,Postpaid,East,Store,72,28.1,12.1,2,0,28.15,0,Moderate,Mid,Low
100247,Postpaid,West,Web,24,34.16,10.44,0,1,34.16,0,Moderate,Mid,Low
100248,Postpaid,East,Store,21,30.07,9.99,1,2,30.07,1,Moderate,Mid,Medium
100249,Postpaid,East,App,62,16.07,26.46,2,1,22.14,0,Heavy,Mid,Medium
100250,Postpaid,North,Store,47,42.14,6.31,2,4,42.14,0,Moderate,High,Elevated
100251,Family,North,Web,28,29.49,30.38,4,1,37.2,0,Heavy,High,Medium
100252,Postpaid,West,Store,16,24.96,6.21,1,3,24.96,1,Moderate,Mid,Medium
100253,Prepaid,North,Store,2,20.94,12.95,0,2,21.34,0,Moderate,Mid,Low
100254,Prepaid,North,Store,3,13.66,8.91,0,2,13.66,1,Moderate,Low,Low
100255,Family,Central,Store,50,36.19,22.82,2,2,40.74,0,Heavy,High,Medium
100256,Family,West,App,19,28.13,20.68,0,3,31.78,0,Heavy,Mid,Medium
100257,Prepaid,North,Web,60,20.55,10.78,1,2,20.55,0,Moderate,Mid,Medium
100258,Prepaid,South,App,61,18.18,4.17,1,0,18.18,0,Light,Low,Low
100259,Postpaid,West,App,33,35.72,12.14,1,4,35.78,1,Moderate,High,Medium
100260,Prepaid,East,Web,22,11.44,4.34,0,1,11.44,0,Light,Low,Low
100261,Family,East,Web,13,26.4,17.29,1,2,28.63,0,Heavy,Mid,Medium
100262,Prepaid,East,Web,19,15.5,14.3,1,2,16.46,0,Moderate,Low,Medium
100263,Prepaid,South,Store,45,22.45,2.67,0,1,22.45,1,Light,Mid,Low
100264,Business,West,Partner,55,55.02,37.46,2,2,65.71,0,Power,VIP,Medium
100265,Prepaid,North,App,54,19.63,5.27,2,2,19.63,0,Moderate,Low,Medium
100266,Prepaid,East,App,70,14.23,7.94,5,2,14.23,1,Moderate,Low,Elevated
100267,Prepaid,North,Store,48,22.81,4.02,0,3,22.81,0,Light,Mid,Medium
100268,Prepaid,North,App,37,11.95,16.03,3,0,13.65,1,Heavy,Low,Medium
100269,Prepaid,North,Store,26,19.51,4.42,1,3,19.51,0,Light,Low,Medium
100270,Prepaid,Central,Partner,25,11.9,10.98,0,4,11.9,0,Moderate,Low,Medium
100271,Prepaid,North,App,27,15.86,2.24,0,5,15.86,0,Light,Low,Medium
100272,Prepaid,South,App,64,21.2,7.3,2,3,21.2,0,Moderate,Mid,Medium
100273,Postpaid,North,App,40,33.44,13.57,0,1,34.1,0,Moderate,Mid,Low
100274,Postpaid,West,Store,16,26.6,8.64,1,3,26.6,0,Moderate,Mid,Medium
100275,Postpaid,East,Web,14,31.44,7.6,1,6,31.44,0,Moderate,Mid,Elevated
100276,Prepaid,Central,Partner,3,8.0,7.25,0,4,8.0,0,Moderate,Low,Medium
100277,Postpaid,West,Web,61,31.62,7.67,4,1,31.62,0,Moderate,Mid,Medium
100278,Family,East,Partner,16,40.4,35.67,0,5,50.34,0,Power,High,Medium
100279,Family,West,App,8,36.06,17.07,0,3,38.19,0,Heavy,High,Medium
100280,Prepaid,North,App,21,13.7,12.68,2,5,13.99,1,Moderate,Low,Elevated
100281,Prepaid,Central,App,36,9.87,4.74,0,3,9.87,0,Light,Low,Medium
100282,Prepaid,Central,Web,70,13.19,9.9,4,2,13.19,0,Moderate,Low,Elevated
100283,Prepaid,South,App,62,23.09,7.33,1,3,23.09,1,Moderate,Mid,Medium
100284,Postpaid,West,App,13,21.74,22.32,0,2,26.07,0,Heavy,Mid,Low
100285,Postpaid,South,App,39,22.91,19.38,1,4,26.01,1,Heavy,Mid,Medium
100286,Prepaid,East,App,60,14.88,16.3,2,0,16.68,1,Heavy,Low,Low
100287,Postpaid,West,Web,55,29.11,14.37,1,4,30.11,0,Moderate,Mid,Medium
100288,Postpaid,Central,Partner,34,25.3,6.22,3,5,25.3,0,Moderate,Mid,Elevated
100289,Prepaid,South,App,18,24.73,7.21,2,1,24.73,1,Moderate,Mid,Medium
100290,Family,West,Store,57,40.02,13.35,2,2,40.59,1,Moderate,High,Medium
100291,Prepaid,West,App,33,16.96,6.39,0,1,16.96,0,Moderate,Low,Low
100292,Business,South,App,18,52.85,32.45,3,4,61.44,1,Heavy,VIP,Elevated
100293,Prepaid,West,App,52,22.01,16.27,0,3,23.8,0,Heavy,Mid,Medium
100294,Family,West,Store,64,39.02,23.5,2,1,43.85,0,Heavy,High,Medium
100295,Family,West,Store,64,30.67,21.5,2,6,34.66,0,Heavy,Mid,Elevated
100296,Business,Central,Web,68,56.9,27.04,1,6,63.22,1,Heavy,VIP,Elevated
100297,Family,North,Web,47,33.79,13.86,0,1,34.58,0,Moderate,Mid,Low
100298,Family,South,App,56,43.92,21.81,0,2,48.04,0,Heavy,High,Low
100299,Postpaid,North,Web,18,27.9,9.45,0,2,27.9,0,Moderate,Mid,Low
100300,Family,North,Web,24,35.57,28.29,4,1,42.41,1,Heavy,High,Medium
100301,Prepaid,East,App,11,17.32,3.29,1,4,17.32,1,Light,Low,Medium
100302,Postpaid,Central,App,6,35.04,4.64,3,3,35.04,1,Light,High,Elevated
100303,Postpaid,East,App,61,28.5,19.16,0,3,31.51,1,Heavy,Mid,Medium
100304,Family,West,App,33,21.96,23.27,0,4,26.69,0,Heavy,Mid,Medium
100305,Postpaid,South,App,40,42.26,19.97,1,3,45.6,0,Heavy,High,Medium
100306,Postpaid,South,App,7,25.75,14.91,1,4,26.97,0,Moderate,Mid,Medium
100307,Postpaid,West,Partner,14,27.42,40.04,1,0,39.2,0,Power,High,Low
100308,Prepaid,West,Partner,6,23.06,3.63,0,2,23.06,1,Light,Mid,Low
