customer_id,plan_type,region,acquisition_channel,tenure_months,monthly_fee,monthly_usage_gb,support_tickets_90d,payment_delay_days,monthly_revenue,churned
100149,Prepaid,East,Web,15,16.49,11.88,0,7,16.49,1
100150,Family,North,App,6,44.18,18.35,3,5,46.84,0
100151,Family,Central,App,52,34.51,20.91,0,2,38.25,0
100152,Prepaid,West,Partner,44,19.68,1.33,1,2,19.68,0
100153,Postpaid,East,Web,63,28.23,2.44,2,2,28.23,0
100154,Prepaid,West,App,17,16.86,16.79,0,5,18.87,1
100155,Postpaid,North,App,52,34.46,22.17,0,2,38.73,0
100156,Prepaid,Central,Web,2,11.03,8.66,0,1,11.03,0
100157,Postpaid,West,App,11,33.87,9.01,0,2,33.87,0
100158,Family,North,Store,43,32.53,8.11,0,2,32.53,0
100159,Family,Central,Web,39,44.19,14.55,1,3,45.26,0
100160,Prepaid,North,App,43,16.95,5.09,2,3,16.95,0
100161,Family,West,App,61,39.19,23.98,0,2,44.22,0
100162,Prepaid,North,App,61,18.34,6.97,1,3,18.34,0
100163,Prepaid,West,App,15,16.22,7.95,3,3,16.22,1
100164,Postpaid,North,Store,15,36.22,13.76,2,6,36.96,1
100165,Postpaid,North,App,39,38.07,15.89,1,2,39.71,1
100166,Family,East,Partner,69,38.74,28.9,1,5,45.84,0
100167,Family,Central,Web,49,42.1,15.43,0,6,43.54,0
100168,Prepaid,South,App,11,8.0,7.84,1,2,8.0,0
100169,Business,West,Store,46,52.69,32.96,4,1,61.49,1
100170,Prepaid,East,App,25,22.56,0.22,0,6,22.56,0
100171,Postpaid,Central,App,8,29.22,20.18,1,1,32.66,0
100172,Prepaid,South,Store,52,20.93,6.95,1,0,20.93,0
100173,Business,East,App,20,57.98,22.42,1,4,62.36,0
100174,Prepaid,Central,App,56,19.94,11.08,3,3,19.94,1
100175,Prepaid,South,App,40,11.73,3.09,2,3,11.73,0
100176,Postpaid,East,App,33,28.28,3.48,2,3,28.28,0
100177,Business,Central,Web,16,62.71,28.3,0,5,69.55,0
100178,Family,South,Partner,22,38.02,13.35,1,5,38.59,1
100179,Family,South,Web,25,37.35,17.25,1,1,39.56,0
100180,Family,South,Partner,50,29.49,6.8,1,3,29.49,1
100181,Family,West,Store,30,41.51,6.73,0,1,41.51,0
100182,Postpaid,Central,App,3,32.26,29.89,1,2,39.77,0
100183,Prepaid,West,Web,1,15.55,0.2,1,4,15.55,0
100184,Family,West,App,20,47.45,5.57,0,2,47.45,0
100185,Postpaid,South,App,37,25.28,12.44,0,4,25.47,1
100186,Postpaid,North,Partner,24,26.65,14.36,1,4,27.64,0
100187,Prepaid,North,Web,72,8.0,10.8,1,4,8.0,0
100188,Family,North,Partner,17,34.36,20.88,0,1,38.09,0
100189,Prepaid,North,App,30,10.88,6.4,0,1,10.88,0
100190,Business,West,Web,29,42.74,34.17,2,5,52.05,0
100191,Prepaid,North,App,20,15.52,9.56,1,1,15.52,0
100192,Prepaid,North,App,64,21.27,5.55,2,4,21.27,0
100193,Family,South,Partner,19,33.51,19.8,0,4,36.79,0
100194,Prepaid,South,App,1,14.55,7.32,1,4,14.55,1
100195,Prepaid,North,Web,38,20.9,9.45,1,1,20.9,1
100196,Postpaid,North,Partner,46,28.35,16.67,0,3,30.31,0
100197,Family,South,Web,33,41.15,9.21,0,1,41.15,0
100198,Prepaid,East,App,31,16.34,9.08,0,0,16.34,0
100199,Prepaid,West,App,63,17.24,6.49,1,3,17.24,0
100200,Family,Central,Partner,27,34.55,22.14,2,3,38.81,1
100201,Business,West,Store,47,43.1,27.73,0,4,49.71,0
100202,Postpaid,West,Store,61,34.82,0.2,1,7,34.82,0
100203,Prepaid,Central,App,29,19.43,3.18,2,3,19.43,1
100204,Prepaid,East,App,39,18.63,4.09,0,1,18.63,1
100205,Prepaid,West,Partner,28,18.25,11.87,1,3,18.25,0
100206,Prepaid,East,Store,45,10.53,8.26,1,2,10.53,0
100207,Postpaid,South,Web,40,37.68,16.23,1,0,39.45,0
100208,Prepaid,South,App,62,21.08,9.95,1,3,21.08,0
100209,Postpaid,North,App,19,35.92,10.2,5,5,35.92,0
100210,Postpaid,West,Store,12,29.4,16.07,3,2,31.11,1
100211,Postpaid,North,Web,31,37.89,20.12,0,1,41.3,0
100212,Prepaid,West,App,45,20.51,14.74,2,1,21.66,0
100213,Family,Central,App,21,31.14,29.32,1,3,38.41,0
100214,Postpaid,East,Store,72,27.73,19.49,2,4,30.87,0
100215,Family,North,App,38,39.83,5.9,1,3,39.83,0
100216,Prepaid,East,App,59,13.13,12.12,2,1,13.18,0
100217,Prepaid,South,Store,40,21.56,5.31,1,1,21.56,0
100218,Business,Central,App,29,36.11,39.72,0,1,47.76,0
100219,Postpaid,West,Store,61,24.01,14.07,3,4,24.88,0
100220,Prepaid,West,App,12,27.38,18.78,1,6,30.23,1
100221,Postpaid,East,Web,19,29.17,27.75,2,3,35.79,1
100222,Postpaid,West,Web,56,27.15,23.01,0,4,31.77,0
100223,Business,West,Web,66,59.88,27.68,0,4,66.47,0
100224,Prepaid,North,Web,21,20.91,5.17,3,0,20.91,0
100225,Business,South,Store,39,52.11,33.59,2,3,61.18,1
100226,Prepaid,North,App,36,24.68,7.28,0,3,24.68,1
100227,Postpaid,East,App,53,23.91,22.59,3,6,28.36,0
100228,Postpaid,Central,App,36,22.02,2.12,1,1,22.02,0
100229,Prepaid,West,Web,45,13.41,2.57,0,5,13.41,0
100230,Prepaid,East,App,49,24.0,5.4,1,4,24.0,0
100231,Postpaid,Central,App,60,38.25,23.07,0,0,42.9,0
100232,Business,North,Store,10,62.63,23.55,2,3,67.48,0
100233,Postpaid,North,Web,48,33.1,2.12,2,2,33.1,0
100234,Business,Central,App,14,66.44,30.58,1,1,74.25,0
100235,Family,Central,Store,1,36.07,15.05,3,2,37.35,1
100236,Postpaid,West,Store,52,23.28,26.33,0,1,29.3,0
100237,Family,South,Partner,29,42.84,11.6,2,4,42.84,1
100238,Prepaid,Central,Web,52,26.17,9.37,0,5,26.17,0
100239,Prepaid,West,App,68,8.0,4.64,1,8,8.0,0
100240,Family,West,Web,10,37.98,26.59,2,3,44.11,0
100241,Family,South,App,33,39.48,26.86,0,2,45.72,1
100242,Prepaid,East,App,8,15.72,8.99,1,1,15.72,0
100243,Postpaid,West,App,60,24.29,9.67,0,6,24.29,0
100244,Postpaid,Central,Store,72,40.69,18.27,0,2,43.32,0
100245,Family,East,Store,63,40.55,0.2,1,4,40.55,1
100246,Postpaid,East,Store,72,28.1,12.1,2,0,28.15,0
100247,Postpaid,West,Web,24,34.16,10.44,0,1,34.16,0
100248,Postpaid,East,Store,21,30.07,9.99,1,2,30.07,1
100249,Postpaid,East,App,62,16.07,26.46,2,1,22.14,0
100250,Postpaid,North,Store,47,42.14,6.31,2,4,42.14,0
100251,Family,North,Web,28,29.49,30.38,4,1,37.2,0
100252,Postpaid,West,Store,16,24.96,6.21,1,3,24.96,1
100253,Prepaid,North,Store,2,20.94,12.95,0,2,21.34,0
100254,Prepaid,North,Store,3,13.66,8.91,0,2,13.66,1
100255,Family,Central,Store,50,36.19,22.82,2,2,40.74,0
100256,Family,West,App,19,28.13,20.68,0,3,31.78,0
100257,Prepaid,North,Web,60,20.55,10.78,1,2,20.55,0
100258,Prepaid,South,App,61,18.18,4.17,1,0,18.18,0
100259,Postpaid,West,App,33,35.72,12.14,1,4,35.78,1
100260,Prepaid,East,Web,22,11.44,4.34,0,1,11.44,0
100261,Family,East,Web,13,26.4,17.29,1,2,28.63,0
100262,Prepaid,East,Web,19,15.5,14.3,1,2,16.46,0
100263,Prepaid,South,Store,45,22.45,2.67,0,1,22.45,1
100264,Business,West,Partner,55,55.02,37.46,2,2,65.71,0
100265,Prepaid,North,App,54,19.63,5.27,2,2,19.63,0
100266,Prepaid,East,App,70,14.23,7.94,5,2,14.23,1
100267,Prepaid,North,Store,48,22.81,4.02,0,3,22.81,0
100268,Prepaid,North,App,37,11.95,16.03,3,0,13.65,1
100269,Prepaid,North,Store,26,19.51,4.42,1,3,19.51,0
100270,Prepaid,Central,Partner,25,11.9,10.98,0,4,11.9,0
100271,Prepaid,North,App,27,15.86,2.24,0,5,15.86,0
100272,Prepaid,South,App,64,21.2,7.3,2,3,21.2,0
100273,Postpaid,North,App,40,33.44,13.57,0,1,34.1,0
100274,Postpaid,West,Store,16,26.6,8.64,1,3,26.6,0
100275,Postpaid,East,Web,14,31.44,7.6,1,6,31.44,0
100276,Prepaid,Central,Partner,3,8.0,7.25,0,4,8.0,0
100277,Postpaid,West,Web,61,31.62,7.67,4,1,31.62,0
100278,Family,East,Partner,16,40.4,35.67,0,5,50.34,0
100279,Family,West,App,8,36.06,17.07,0,3,38.19,0
100280,Prepaid,North,App,21,13.7,12.68,2,5,13.99,1
100281,Prepaid,Central,App,36,9.87,4.74,0,3,9.87,0
100282,Prepaid,Central,Web,70,13.19,9.9,4,2,13.19,0
100283,Prepaid,South,App,62,23.09,7.33,1,3,23.09,1
100284,Postpaid,West,App,13,21.74,22.32,0,2,26.07,0
100285,Postpaid,South,App,39,22.91,19.38,1,4,26.01,1
100286,Prepaid,East,App,60,14.88,16.3,2,0,16.68,1
100287,Postpaid,West,Web,55,29.11,14.37,1,4,30.11,0
100288,Postpaid,Central,Partner,34,25.3,6.22,3,5,25.3,0
100289,Prepaid,South,App,18,24.73,7.21,2,1,24.73,1
100290,Family,West,Store,57,40.02,13.35,2,2,40.59,1
100291,Prepaid,West,App,33,16.96,6.39,0,1,16.96,0
100292,Business,South,App,18,52.85,32.45,3,4,61.44,1
100293,Prepaid,West,App,52,22.01,16.27,0,3,23.8,0
100294,Family,West,Store,64,39.02,23.5,2,1,43.85,0
100295,Family,West,Store,64,30.67,21.5,2,6,34.66,0
100296,Business,Central,Web,68,56.9,27.04,1,6,63.22,1
100297,Family,North,Web,47,33.79,13.86,0,1,34.58,0
100298,Family,South,App,56,43.92,21.81,0,2,48.04,0
100299,Postpaid,North,Web,18,27.9,9.45,0,2,27.9,0
100300,Family,North,Web,24,35.57,28.29,4,1,42.41,1
100301,Prepaid,East,App,11,17.32,3.29,1,4,17.32,1
100302,Postpaid,Central,App,6,35.04,4.64,3,3,35.04,1
100303,Postpaid,East,App,61,28.5,19.16,0,3,31.51,1
100304,Family,West,App,33,21.96,23.27,0,4,26.69,0
100305,Postpaid,South,App,40,42.26,19.97,1,3,45.6,0
100306,Postpaid,South,App,7,25.75,14.91,1,4,26.97,0
100307,Postpaid,West,Partner,14,27.42,40.04,1,0,39.2,0
100308,Prepaid,West,Partner,6,23.06,3.63,0,2,23.06,1
100309,Prepaid,South,Store,35,20.12,0.2,0,3,20.12,0
100310,Postpaid,Central,Web,42,22.09,15.72,1,4,23.65,1
100311,Postpaid,East,Partner,10,38.65,11.72,3,2,38.65,1
100312,Prepaid,North,App,52,24.07,10.79,0,3,24.07,1
100313,Postpaid,East,Store,8,29.47,11.78,1,3,29.47,0
100314,Postpaid,West,Web,61,29.0,22.44,3,1,33.38,0
100315,Prepaid,South,Partner,67,18.41,11.77,1,0,18.41,0
100316,Postpaid,Central,Web,47,20.64,9.81,0,1,20.64,0
100317,Postpaid,East,App,40,32.44,18.98,1,4,35.37,0
100318,Prepaid,East,Web,53,21.88,13.38,1,3,22.46,0
100319,Business,Central,App,18,58.14,24.54,1,3,63.4,1
100320,Family,East,App,67,32.69,39.84,0,3,44.38,0
100321,Postpaid,East,Store,64,28.77,16.94,1,3,30.84,0
100322,Prepaid,North,Web,51,11.02,7.15,3,1,11.02,0
100323,Postpaid,South,App,72,32.51,10.43,1,2,32.51,0
100324,Family,South,App,22,24.11,21.64,0,3,28.16,0
100325,Postpaid,North,Web,64,25.34,9.67,2,2,25.34,0
100326,Family,East,App,3,47.47,30.46,0,2,55.22,0
100327,Postpaid,North,Web,54,23.55,19.98,2,4,26.9,0
100328,Postpaid,South,Store,21,36.31,16.13,3,3,38.05,0
100329,Prepaid,East,Store,70,24.79,6.11,1,3,24.79,0
100330,Family,South,App,41,32.11,12.54,0,3,32.33,1
100331,Prepaid,West,Partner,15,25.32,13.23,5,2,25.83,0
100332,Postpaid,West,Partner,23,29.64,18.02,1,3,32.17,1
100333,Family,South,App,64,33.66,17.83,0,1,36.11,0
100334,Prepaid,North,Web,58,13.76,7.46,0,2,13.76,0
100335,Postpaid,East,Web,26,31.1,14.12,0,3,31.99,0
100336,Prepaid,North,App,19,13.35,8.94,1,2,13.35,0
100337,Family,East,Store,3,38.15,35.56,1,0,48.05,1
100338,Prepaid,West,Web,9,26.98,12.42,6,1,27.16,1
100339,Business,West,Store,3,49.66,27.42,0,1,56.13,0
100340,Prepaid,East,Partner,24,25.44,4.24,1,4,25.44,0
100341,Business,Central,App,14,51.46,27.17,3,0,57.83,1
100342,Family,North,Partner,2,44.48,22.8,1,1,49.02,0
100343,Postpaid,Central,Partner,57,24.48,20.98,1,4,28.25,0
100344,Family,West,App,64,43.93,18.91,1,1,46.83,0
100345,Family,East,App,65,37.01,13.42,1,2,37.61,0
100346,Business,North,Store,61,58.49,22.56,3,2,62.93,1
100347,Prepaid,North,Partner,10,16.24,4.04,1,5,16.24,0
100348,Postpaid,Central,App,12,24.19,4.15,0,7,24.19,0
100349,Prepaid,South,App,61,22.51,6.79,0,1,22.51,0
100350,Postpaid,Central,Web,2,27.19,17.42,1,3,29.46,0
100351,Prepaid,East,App,55,15.04,7.46,1,5,15.04,0
100352,Postpaid,East,Store,10,34.35,5.25,3,4,34.35,0
100353,Postpaid,West,Store,4,31.52,0.2,0,2,31.52,0
100354,Postpaid,South,Partner,57,32.54,16.89,1,6,34.59,1
100355,Postpaid,East,App,53,30.02,18.0,2,2,32.54,0
100356,Family,Central,Partner,7,31.85,20.35,1,2,35.36,0
100357,Family,South,Store,3,46.32,31.15,0,1,54.36,0
100358,Postpaid,Central,Partner,64,36.63,18.83,1,0,39.5,0
100359,Postpaid,Central,App,19,27.91,27.65,2,3,34.48,1
100360,Business,North,Web,70,47.99,29.58,0,3,55.37,0
100361,Prepaid,East,Web,39,8.0,14.51,0,1,9.05,1
100362,Prepaid,North,Web,71,16.58,7.25,2,2,16.58,1
100363,Prepaid,West,App,66,17.27,4.18,1,4,17.27,0
100364,Postpaid,Central,Store,45,37.09,12.54,2,1,37.32,0
100365,Postpaid,Central,App,8,35.82,9.91,2,3,35.82,0
100366,Family,Central,App,65,34.0,16.35,1,4,35.82,0
100367,Postpaid,South,Web,26,30.45,0.2,0,2,30.45,1
100368,Prepaid,East,Partner,19,20.94,1.55,1,0,20.94,1
100369,Family,South,Store,42,33.52,29.8,1,2,40.99,0
100370,Family,Central,App,26,30.31,2.14,1,1,30.31,0
100371,Prepaid,North,App,54,21.23,8.11,2,2,21.23,1
100372,Postpaid,North,App,20,26.62,12.9,1,0,27.0,0
100373,Prepaid,North,App,66,25.05,3.55,0,2,25.05,0
100374,Prepaid,North,Web,8,10.77,11.4,2,0,10.77,0
100375,Prepaid,North,App,34,14.73,10.07,1,2,14.73,1
100376,Business,North,App,70,59.67,38.37,0,2,70.74,0
100377,Postpaid,Central,Web,61,31.94,14.78,0,4,33.1,0
100378,Postpaid,West,App,60,34.38,21.06,0,0,38.19,0
100379,Family,South,App,45,39.36,23.26,2,0,44.09,0
100380,Postpaid,West,Store,41,23.87,20.28,0,0,27.35,0
100381,Business,East,App,15,41.08,32.04,0,1,49.5,0
100382,Family,West,Store,22,30.38,24.23,1,5,35.52,1
100383,Postpaid,South,Store,42,22.69,15.09,4,2,23.99,0
100384,Postpaid,East,Web,23,23.84,20.18,1,2,27.28,0
100385,Business,South,App,23,56.39,28.39,2,3,63.27,0
100386,Postpaid,North,App,49,31.57,15.37,1,1,32.99,0
100387,Business,East,Web,51,56.04,15.34,2,2,57.45,1
100388,Prepaid,West,App,36,20.56,10.16,0,0,20.56,0
100389,Family,West,App,21,42.35,19.5,2,3,45.5,0
100390,Postpaid,South,App,13,29.36,10.05,0,3,29.36,0
100391,Prepaid,East,App,19,15.69,7.96,1,1,15.69,0
100392,Postpaid,West,App,24,26.78,10.45,1,2,26.78,1
100393,Postpaid,North,Partner,69,28.4,25.93,1,1,34.25,0
100394,Prepaid,North,Store,24,21.81,5.18,2,1,21.81,0
100395,Postpaid,South,Store,66,21.98,12.21,0,5,22.07,1
100396,Family,South,App,39,33.54,18.93,0,4,36.45,0
100397,Prepaid,South,App,33,22.81,5.7,1,3,22.81,0
100398,Postpaid,North,Web,20,26.72,15.01,1,1,27.98,0
100399,Postpaid,West,Web,56,26.62,7.96,0,1,26.62,0
100400,Prepaid,West,Partner,61,25.0,5.34,1,4,25.0,1
100401,Family,West,App,71,47.08,5.79,1,1,47.08,0
100402,Family,West,App,60,37.37,27.68,2,5,43.95,0
100403,Prepaid,South,Web,7,22.68,7.63,0,3,22.68,0
100404,Business,Central,App,64,58.76,12.29,1,4,58.88,0
100405,Family,West,App,44,30.34,22.43,2,1,34.72,0
100406,Prepaid,East,App,37,14.84,12.1,3,6,14.89,1
100407,Family,South,App,19,38.0,5.84,1,4,38.0,0
100408,Prepaid,West,Web,37,10.63,11.59,1,3,10.63,1
100409,Business,West,Web,58,52.48,31.52,2,5,60.68,1
100410,Postpaid,West,Store,43,37.64,20.07,0,5,41.03,1
100411,Postpaid,West,App,8,30.32,29.11,0,3,37.51,0
100412,Prepaid,Central,Web,55,9.08,11.44,0,3,9.08,0
100413,Family,Central,Store,57,35.49,16.63,1,4,37.43,0
100414,Prepaid,West,Web,49,31.31,7.22,1,3,31.31,0
100415,Prepaid,Central,Store,15,14.98,7.97,0,4,14.98,1
100416,Prepaid,Central,Partner,22,23.29,6.41,1,2,23.29,0
100417,Family,North,App,33,33.58,24.64,1,1,38.89,1
100418,Prepaid,West,Store,63,11.38,11.26,1,3,11.38,0
100419,Family,North,Web,59,44.76,18.64,1,1,47.55,0
